<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VHM,20190213,80.10,80.80,79.30,80.00,506510
VHM,20190212,80.40,80.40,79.50,80.00,531210
VHM,20190211,81.00,81.00,79.60,79.90,353110
VHM,20190201,80.00,80.00,79.60,80.00,974540
VHM,20190131,82.00,82.00,79.60,80.00,773010
VHM,20190130,80.40,82.00,80.40,82.00,246940
VHM,20190129,81.50,81.50,80.50,81.50,334250
VHM,20190128,80.00,80.60,77.80,80.60,284550
VHM,20190125,78.50,78.70,77.50,78.00,226260
VHM,20190124,79.60,79.60,78.00,78.80,176750
VHM,20190123,79.90,80.00,79.00,79.60,214610
VHM,20190122,80.60,81.00,79.60,79.60,285720
VHM,20190121,81.00,81.00,80.00,80.50,411510
VHM,20190118,80.40,81.10,79.00,80.50,289350
VHM,20190117,80.90,81.20,79.80,79.80,214330
VHM,20190116,79.90,82.00,79.10,80.30,327390
VHM,20190115,77.00,79.90,77.00,79.90,297510
VHM,20190114,78.00,78.00,76.60,77.30,193920
VHM,20190111,74.90,76.60,74.70,76.60,241490
VHM,20190110,74.50,74.60,73.50,74.60,108550
VHM,20190109,74.50,74.50,74.00,74.20,92720
VHM,20190108,74.00,74.20,73.10,74.20,205460
VHM,20190107,74.60,74.60,73.30,74.20,186030
VHM,20190104,72.00,74.50,70.90,74.00,277640
VHM,20190103,72.10,73.20,71.50,73.20,475210
VHM,20190102,73.70,73.70,72.70,73.50,334420
VHM,20181228,73.80,74.50,73.40,73.40,399190
VHM,20181227,73.90,73.90,72.90,73.30,304690
VHM,20181226,73.10,73.50,71.40,72.00,547940
VHM,20181225,73.00,74.00,72.30,73.50,232270
VHM,20181224,75.00,76.00,74.30,74.40,172180
VHM,20181221,76.80,76.80,73.90,73.90,1469270
VHM,20181220,76.80,77.60,76.80,77.40,184090
VHM,20181219,78.00,78.00,76.70,77.50,217620
VHM,20181218,76.00,78.00,75.50,77.50,323660
VHM,20181217,79.80,79.90,76.50,77.50,461140
VHM,20181214,80.30,80.30,79.50,79.80,97030
VHM,20181213,80.10,81.30,80.10,80.30,162470
VHM,20181212,80.30,80.40,79.70,80.30,204900
VHM,20181211,81.40,81.40,79.90,80.30,141650
VHM,20181210,79.80,80.00,79.00,80.00,345240
VHM,20181207,81.40,81.40,80.00,80.00,250620
VHM,20181206,81.00,81.90,80.50,81.40,256140
VHM,20181205,80.00,82.50,80.00,80.70,384670
VHM,20181204,78.00,83.00,78.00,82.00,700280
VHM,20181203,78.50,78.70,77.70,77.70,194530
VHM,20181130,78.70,78.90,76.00,77.80,593960
VHM,20181129,78.50,78.90,78.40,78.70,473940
VHM,20181128,78.00,78.40,77.50,78.30,170200
VHM,20181127,77.50,78.60,77.40,78.30,399420
VHM,20181126,76.00,77.30,75.50,77.00,301550
VHM,20181123,77.00,77.80,76.10,76.10,89640
VHM,20181122,75.50,78.00,75.00,77.00,504210
VHM,20181121,75.00,75.80,73.20,75.80,451550
