<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
NVL,20190215,57.90,58.30,57.50,57.50,511960
NVL,20190214,57.60,59.20,57.50,57.90,656330
NVL,20190213,57.50,57.80,57.10,57.50,456420
NVL,20190212,57.50,57.80,57.30,57.50,426710
NVL,20190211,56.80,57.90,56.70,57.50,440830
NVL,20190201,56.60,56.90,55.80,56.70,571270
NVL,20190131,57.00,57.20,56.30,56.60,554770
NVL,20190130,57.00,57.30,56.90,57.10,394750
NVL,20190129,57.10,57.40,56.70,57.40,508370
NVL,20190128,57.00,57.20,56.80,57.10,421070
NVL,20190125,57.10,57.40,56.00,57.00,352410
NVL,20190124,57.10,57.30,56.70,57.10,412780
NVL,20190123,56.90,57.20,56.50,57.20,453150
NVL,20190122,57.20,57.30,56.20,56.90,535670
NVL,20190121,57.00,57.40,56.90,57.10,354580
NVL,20190118,56.80,57.50,56.80,57.00,324670
NVL,20190117,57.10,57.50,56.80,56.80,396210
NVL,20190116,57.50,58.10,56.80,57.50,475490
NVL,20190115,57.50,58.40,56.90,58.10,573010
NVL,20190114,58.50,58.70,56.90,58.10,717640
NVL,20190111,58.50,59.80,58.50,59.30,627520
NVL,20190110,58.00,59.80,58.00,59.20,470210
NVL,20190109,57.80,60.00,53.70,58.80,1165350
NVL,20190108,62.00,62.00,57.70,57.70,621630
NVL,20190107,62.50,63.00,61.10,62.00,721650
NVL,20190104,62.50,63.50,61.00,63.20,626290
NVL,20190103,63.90,63.90,62.70,63.00,629490
NVL,20190102,64.50,64.50,62.80,64.50,478860
NVL,20181228,64.00,64.50,63.90,64.20,320230
NVL,20181227,64.00,64.60,63.90,64.20,320700
NVL,20181226,64.00,65.20,63.20,64.20,367820
NVL,20181225,64.50,65.50,63.60,65.20,438170
NVL,20181224,64.00,64.70,63.30,64.10,622530
NVL,20181221,64.00,65.20,63.50,63.50,704870
NVL,20181220,63.50,65.50,63.00,65.00,301590
NVL,20181219,64.50,64.50,63.50,63.50,290690
NVL,20181218,66.00,66.30,64.00,64.80,445920
NVL,20181217,67.00,67.00,65.60,66.30,266420
NVL,20181214,67.50,67.70,66.70,67.00,214040
NVL,20181213,68.00,69.10,67.40,67.40,263460
NVL,20181212,68.00,69.10,67.70,68.00,247380
NVL,20181211,68.00,68.30,67.00,68.10,230450
NVL,20181210,68.00,68.50,67.90,68.30,250580
NVL,20181207,68.20,69.00,68.20,68.50,294760
NVL,20181206,67.00,69.40,67.00,68.00,275540
NVL,20181205,67.90,67.90,67.00,67.30,323630
NVL,20181204,68.40,68.50,67.50,67.90,257820
NVL,20181203,68.10,69.10,68.10,68.30,264730
NVL,20181130,69.20,69.40,67.20,68.10,368790
NVL,20181129,69.20,69.50,68.70,69.20,222580
NVL,20181128,68.70,69.50,68.00,69.10,207450
NVL,20181127,68.90,69.80,67.80,68.00,459790
NVL,20181126,68.10,69.00,67.20,68.90,145300
NVL,20181123,67.70,68.50,67.20,68.10,112880
NVL,20181122,67.60,69.00,67.60,67.70,137410
NVL,20181121,68.60,69.10,67.60,67.60,153580
NVL,20181120,69.10,69.40,67.00,69.20,145050
