<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TCB,20190215,27.20,27.65,27.10,27.25,3355310
TCB,20190214,27.50,27.60,27.25,27.30,2290940
TCB,20190213,27.45,27.75,27.40,27.55,2519920
TCB,20190212,27.15,27.65,26.95,27.45,4957590
TCB,20190211,27.00,27.30,26.80,27.05,2504660
TCB,20190201,26.50,27.20,26.30,27.20,7859690
TCB,20190131,26.60,26.60,26.30,26.50,2606420
TCB,20190130,26.50,26.70,26.30,26.60,1017170
TCB,20190129,26.20,26.50,25.90,26.50,2058540
TCB,20190128,26.75,26.80,26.05,26.20,1864000
TCB,20190125,26.95,27.25,26.65,26.65,1710030
TCB,20190124,26.70,26.85,26.45,26.65,1537670
TCB,20190123,26.90,26.90,26.55,26.55,2092730
TCB,20190122,27.60,27.60,26.80,26.80,2368670
TCB,20190121,26.90,27.50,26.90,27.40,1951730
TCB,20190118,26.80,26.95,26.50,26.75,1598890
TCB,20190117,26.50,26.85,26.40,26.65,1858980
TCB,20190116,26.60,26.75,26.45,26.50,1782580
TCB,20190115,25.85,26.50,25.85,26.50,1853220
TCB,20190114,25.90,26.05,25.75,25.85,2002420
TCB,20190111,25.85,26.30,25.85,26.00,1623150
TCB,20190110,25.80,25.95,25.75,25.80,1644380
TCB,20190109,25.20,26.00,25.10,25.80,3192180
TCB,20190108,25.15,25.20,25.05,25.10,843170
TCB,20190107,25.15,25.50,25.10,25.10,1436930
TCB,20190104,25.00,25.00,23.25,24.95,2970830
TCB,20190103,25.70,25.75,25.00,25.00,1811430
TCB,20190102,26.00,26.05,25.60,25.60,1329030
TCB,20181228,26.30,26.30,25.85,25.85,1849440
TCB,20181227,26.50,26.65,26.05,26.05,2093990
TCB,20181226,26.30,26.60,25.95,26.00,1965260
TCB,20181225,26.20,26.55,25.80,26.40,2408040
TCB,20181224,27.30,27.40,26.90,26.90,1250440
TCB,20181221,27.00,27.30,26.70,27.30,1436860
TCB,20181220,27.20,27.70,27.10,27.25,1096130
TCB,20181219,27.40,27.50,26.95,27.50,1152330
TCB,20181218,27.00,27.50,26.70,27.50,3565390
TCB,20181217,28.30,28.50,27.40,27.40,3335920
TCB,20181214,28.50,28.80,28.50,28.65,2395670
TCB,20181213,29.00,29.15,28.70,28.70,2502500
TCB,20181212,28.50,28.90,28.30,28.90,3106230
TCB,20181211,28.35,28.50,28.10,28.30,2451470
