<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ROS,20181029,37.00,37.40,35.45,37.20,1086260
ROS,20181026,37.00,37.80,35.40,37.45,1186010
ROS,20181025,35.15,37.50,35.15,37.50,1566670
ROS,20181024,37.95,37.95,36.40,37.50,979780
ROS,20181023,37.90,38.30,36.50,37.95,885330
ROS,20181022,38.45,38.55,37.85,38.55,1400960
ROS,20181019,38.00,38.90,37.80,38.60,883310
ROS,20181018,38.50,39.40,37.95,38.70,768170
ROS,20181017,39.50,39.90,37.80,38.50,1951170
ROS,20181016,39.10,40.00,37.90,40.00,1962930
ROS,20181015,39.95,40.00,37.80,40.00,1331630
ROS,20181012,40.00,40.00,37.80,39.95,1357430
ROS,20181011,39.80,40.00,37.75,40.00,1936980
ROS,20181010,39.70,40.50,39.70,40.30,1126400
ROS,20181009,39.90,40.00,38.80,40.00,958460
ROS,20181008,40.00,40.00,39.00,40.00,905640
ROS,20181005,39.85,40.15,39.65,40.00,623080
ROS,20181004,40.10,40.15,39.80,40.00,1376410
ROS,20181003,40.15,40.25,39.85,40.10,1731000
ROS,20181002,40.30,40.35,39.85,40.15,1467240
ROS,20181001,40.35,40.40,39.85,40.30,1172800
ROS,20180928,40.60,40.70,39.90,40.30,1117460
ROS,20180927,40.70,40.85,40.00,40.45,1296050
ROS,20180926,40.90,41.00,40.40,40.50,756990
ROS,20180925,40.95,40.95,40.50,40.70,1287810
ROS,20180924,40.00,41.00,39.95,40.50,2006060
ROS,20180921,40.00,40.15,39.80,40.00,1625280
ROS,20180920,40.10,40.10,39.85,40.00,834750
ROS,20180919,40.05,40.15,39.90,40.05,1806430
ROS,20180918,40.00,40.20,39.90,40.05,1056150
ROS,20180917,40.00,40.30,39.95,40.00,1062030
ROS,20180914,40.30,40.35,39.95,40.00,1810900
ROS,20180913,40.30,40.40,40.00,40.20,1863030
ROS,20180912,40.40,40.50,40.00,40.25,1256010
ROS,20180911,40.20,40.40,40.00,40.25,1132870
ROS,20180910,40.00,40.30,40.00,40.00,1133200
ROS,20180907,40.00,40.50,40.00,40.25,1318890
ROS,20180906,40.65,40.75,40.00,40.00,1075670
